Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 27, 2023","18,928.75","19,076.15","18,926.65","19,047.25","19,047.25","2,05,200"
"Oct 26, 2023","19,027.25","19,041.70","18,837.85","18,857.25","18,857.25","3,00,400"
"Oct 25, 2023","19,286.45","19,347.30","19,074.15","19,122.15","19,122.15","2,25,300"
"Oct 23, 2023","19,521.60","19,556.85","19,257.85","19,281.75","19,281.75","1,76,000"
"Oct 20, 2023","19,542.15","19,593.80","19,518.70","19,542.65","19,542.65","1,98,300"
"Oct 19, 2023","19,545.20","19,681.80","19,512.35","19,624.70","19,624.70","2,30,300"
"Oct 18, 2023","19,820.45","19,840.95","19,659.95","19,671.10","19,671.10","1,98,900"
"Oct 17, 2023","19,843.20","19,849.75","19,775.65","19,811.50","19,811.50","1,85,800"
"Oct 16, 2023","19,737.25","19,781.30","19,691.85","19,731.75","19,731.75","1,81,000"
"Oct 13, 2023","19,654.55","19,805.40","19,635.30","19,751.05","19,751.05","2,55,000"
"Oct 12, 2023","19,822.70","19,843.30","19,772.65","19,794.00","19,794.00","2,17,900"
"Oct 11, 2023","19,767.00","19,839.20","19,756.95","19,811.35","19,811.35","2,13,700"
"Oct 10, 2023","19,565.60","19,717.80","19,565.45","19,689.85","19,689.85","2,16,600"
"Oct 09, 2023","19,539.45","19,588.95","19,480.50","19,512.35","19,512.35","1,65,100"
"Oct 06, 2023","19,621.20","19,675.75","19,589.40","19,653.50","19,653.50","1,59,100"
"Oct 05, 2023","19,521.85","19,576.95","19,487.30","19,545.75","19,545.75","2,34,900"
"Oct 04, 2023","19,446.30","19,457.80","19,333.60","19,436.10","19,436.10","2,77,100"
"Oct 03, 2023","19,622.40","19,623.20","19,479.65","19,528.75","19,528.75","2,21,700"
"Sep 29, 2023","19,581.20","19,726.25","19,551.05","19,638.30","19,638.30","2,43,500"
"Sep 28, 2023","19,761.80","19,766.65","19,492.10","19,523.55","19,523.55","3,52,800"
"Sep 27, 2023","19,637.05","19,730.70","19,554.00","19,716.45","19,716.45","2,03,600"
"Sep 26, 2023","19,682.80","19,699.35","19,637.45","19,664.70","19,664.70","2,04,900"
"Sep 25, 2023","19,678.20","19,734.15","19,601.55","19,674.55","19,674.55","1,88,400"
"Sep 22, 2023","19,744.85","19,798.65","19,657.50","19,674.25","19,674.25","2,46,400"
"Sep 21, 2023","19,840.55","19,848.75","19,709.95","19,742.35","19,742.35","2,75,100"
"Sep 20, 2023","19,980.75","20,050.65","19,878.85","19,901.40","19,901.40","3,78,100"
"Sep 18, 2023","20,155.95","20,195.35","20,115.70","20,133.30","20,133.30","2,64,900"
"Sep 15, 2023","20,156.45","20,222.45","20,129.70","20,192.35","20,192.35","4,38,200"
"Sep 14, 2023","20,127.95","20,167.65","20,043.45","20,103.10","20,103.10","2,75,100"
"Sep 13, 2023","19,989.50","20,096.90","19,944.10","20,070.00","20,070.00","2,51,400"
"Sep 12, 2023","20,110.15","20,110.35","19,914.65","19,993.20","19,993.20","3,28,100"
"Sep 11, 2023","19,890.00","20,008.15","19,865.35","19,996.35","19,996.35","2,48,800"
"Sep 08, 2023","19,774.80","19,867.15","19,727.05","19,819.95","19,819.95","2,88,100"
"Sep 07, 2023","19,598.65","19,737.00","19,550.05","19,727.05","19,727.05","3,04,900"
"Sep 06, 2023","19,581.20","19,636.45","19,491.50","19,611.05","19,611.05","2,87,600"
"Sep 05, 2023","19,564.65","19,587.05","19,525.75","19,574.90","19,574.90","2,56,800"
"Sep 04, 2023","19,525.05","19,545.15","19,432.85","19,528.80","19,528.80","2,96,800"
"Sep 01, 2023","19,258.15","19,458.55","19,255.70","19,435.30","19,435.30","3,33,000"
"Aug 31, 2023","19,375.55","19,388.20","19,223.65","19,253.80","19,253.80","5,62,600"
"Aug 30, 2023","19,433.45","19,452.80","19,334.75","19,347.45","19,347.45","2,33,000"
"Aug 29, 2023","19,374.85","19,377.90","19,309.10","19,342.65","19,342.65","3,07,400"
"Aug 28, 2023","19,298.35","19,366.85","19,249.70","19,306.05","19,306.05","2,48,200"
"Aug 25, 2023","19,297.40","19,339.55","19,229.70","19,265.80","19,265.80","4,66,500"
"Aug 24, 2023","19,535.15","19,584.45","19,369.00","19,386.70","19,386.70","2,68,300"
"Aug 23, 2023","19,439.20","19,472.05","19,366.60","19,444.00","19,444.00","2,25,200"
