Date,S&P500
28/10/13,1762.11
29/10/13,1771.95
30/10/13,1763.31
31/10/13,1756.54
01/11/13,1761.64
04/11/13,1767.93
05/11/13,1762.97
06/11/13,1770.49
07/11/13,1747.15
08/11/13,1770.61
11/11/13,1771.89
12/11/13,1767.69
13/11/13,1782
14/11/13,1790.62
15/11/13,1798.18
18/11/13,1791.53
19/11/13,1787.87
20/11/13,1781.37
21/11/13,1795.85
22/11/13,1804.76
25/11/13,1802.48
26/11/13,1802.75
27/11/13,1807.23
29/11/13,1805.81
02/12/13,1800.9
03/12/13,1795.15
04/12/13,1792.81
05/12/13,1785.03
06/12/13,1805.09
09/12/13,1808.37
10/12/13,1802.62
11/12/13,1782.22
12/12/13,1775.5
13/12/13,1775.32
16/12/13,1786.54
17/12/13,1781
18/12/13,1810.65
19/12/13,1809.6
20/12/13,1818.32
23/12/13,1827.99
24/12/13,1833.32
26/12/13,1842.02
27/12/13,1841.4
30/12/13,1841.07
31/12/13,1848.36
02/01/14,1831.98
03/01/14,1831.37
06/01/14,1826.77
07/01/14,1837.88
08/01/14,1837.49
09/01/14,1838.13
10/01/14,1842.37
13/01/14,1819.2
14/01/14,1838.88
15/01/14,1848.38
16/01/14,1845.89
17/01/14,1838.7
21/01/14,1843.8
22/01/14,1844.86
23/01/14,1828.46
24/01/14,1790.29
27/01/14,1781.56
28/01/14,1792.5
29/01/14,1774.2
30/01/14,1794.19
31/01/14,1782.59
03/02/14,1741.89
04/02/14,1755.2
05/02/14,1751.64
06/02/14,1773.43
07/02/14,1797.02
10/02/14,1799.84
11/02/14,1819.75
12/02/14,1819.26
13/02/14,1829.83
14/02/14,1838.63
18/02/14,1840.76
19/02/14,1828.75
20/02/14,1839.78
21/02/14,1836.25
24/02/14,1847.61
25/02/14,1845.12
26/02/14,1845.16
27/02/14,1854.29
28/02/14,1859.45
03/03/14,1845.73
04/03/14,1873.91
05/03/14,1873.81
06/03/14,1877.03
07/03/14,1878.04
10/03/14,1877.17
11/03/14,1867.63
12/03/14,1868.2
13/03/14,1846.34
14/03/14,1841.13
17/03/14,1858.83
18/03/14,1872.25
19/03/14,1860.77
20/03/14,1872.01
21/03/14,1866.52
24/03/14,1857.44
25/03/14,1865.62
26/03/14,1852.56
27/03/14,1849.04
28/03/14,1857.62
31/03/14,1872.34
01/04/14,1885.52
02/04/14,1890.9
03/04/14,1888.77
04/04/14,1865.09
07/04/14,1845.04
08/04/14,1851.96
09/04/14,1872.18
10/04/14,1833.08
11/04/14,1815.69
14/04/14,1830.61
15/04/14,1842.98
16/04/14,1862.31
17/04/14,1864.85
21/04/14,1871.89
22/04/14,1879.55
23/04/14,1875.39
24/04/14,1878.61
25/04/14,1863.4
28/04/14,1869.43
29/04/14,1878.33
30/04/14,1883.95
01/05/14,1883.68
02/05/14,1881.14
05/05/14,1884.66
06/05/14,1867.72
07/05/14,1878.21
08/05/14,1875.63
09/05/14,1878.48
12/05/14,1896.65
13/05/14,1897.45
14/05/14,1888.53
15/05/14,1870.85
16/05/14,1877.86
19/05/14,1885.08
20/05/14,1872.83
21/05/14,1888.03
22/05/14,1892.49
23/05/14,1900.53
27/05/14,1911.91
28/05/14,1909.78
29/05/14,1920.03
30/05/14,1923.57
02/06/14,1924.97
03/06/14,1924.24
04/06/14,1927.88
05/06/14,1940.46
06/06/14,1949.44
09/06/14,1951.27
10/06/14,1950.79
11/06/14,1943.89
12/06/14,1930.11
13/06/14,1936.16
16/06/14,1937.78
17/06/14,1941.99
18/06/14,1956.98
19/06/14,1959.48
20/06/14,1962.87
23/06/14,1962.61
24/06/14,1949.98
25/06/14,1959.53
26/06/14,1957.22
27/06/14,1960.96
30/06/14,1960.23
01/07/14,1973.32
02/07/14,1974.62
03/07/14,1985.44
07/07/14,1977.65
08/07/14,1963.71
09/07/14,1972.83
10/07/14,1964.68
11/07/14,1967.57
14/07/14,1977.1
15/07/14,1973.28
16/07/14,1981.57
17/07/14,1958.12
18/07/14,1978.22
21/07/14,1973.63
22/07/14,1983.53
23/07/14,1987.01
24/07/14,1987.98
25/07/14,1978.34
28/07/14,1978.91
29/07/14,1969.95
30/07/14,1970.07
31/07/14,1930.67
01/08/14,1925.15
04/08/14,1938.99
05/08/14,1920.21
06/08/14,1920.24
07/08/14,1909.57
08/08/14,1931.59
11/08/14,1936.92
12/08/14,1933.75
13/08/14,1946.72
14/08/14,1955.18
15/08/14,1955.06
18/08/14,1971.74
19/08/14,1981.6
20/08/14,1986.51
21/08/14,1992.37
22/08/14,1988.4
25/08/14,1997.92
26/08/14,2000.02
27/08/14,2000.12
28/08/14,1996.74
29/08/14,2003.37
02/09/14,2002.28
03/09/14,2000.72
04/09/14,1997.65
05/09/14,2007.71
08/09/14,2001.54
09/09/14,1988.44
10/09/14,1995.69
11/09/14,1997.45
12/09/14,1985.54
15/09/14,1984.13
16/09/14,1998.98
17/09/14,2001.57
18/09/14,2011.36
19/09/14,2010.4
22/09/14,1994.29
23/09/14,1982.77
24/09/14,1998.3
25/09/14,1965.99
26/09/14,1982.85
29/09/14,1977.8
30/09/14,1972.29
01/10/14,1946.16
02/10/14,1946.17
03/10/14,1967.9
06/10/14,1964.82
07/10/14,1935.1
08/10/14,1968.89
09/10/14,1928.21
10/10/14,1906.13
13/10/14,1874.74
14/10/14,1877.7
15/10/14,1862.49
16/10/14,1862.76
17/10/14,1886.76
20/10/14,1904.01
21/10/14,1941.28
22/10/14,1927.11
23/10/14,1950.82
24/10/14,1964.58
27/10/14,1961.63
28/10/14,1985.05
29/10/14,1982.3
30/10/14,1994.65
31/10/14,2018.05
03/11/14,2017.81
04/11/14,2012.1
05/11/14,2023.57
06/11/14,2031.21
07/11/14,2031.92
10/11/14,2038.26
11/11/14,2039.68
12/11/14,2038.25
13/11/14,2039.33
14/11/14,2039.82
17/11/14,2041.32
18/11/14,2051.8
19/11/14,2048.72
20/11/14,2052.75
21/11/14,2063.5
24/11/14,2069.41
25/11/14,2067.03
26/11/14,2072.83
28/11/14,2067.56
01/12/14,2053.44
02/12/14,2066.55
03/12/14,2074.33
04/12/14,2071.92
05/12/14,2075.37
08/12/14,2060.31
09/12/14,2059.82
10/12/14,2026.14
11/12/14,2035.33
12/12/14,2002.33
15/12/14,1989.63
16/12/14,1972.74
17/12/14,2012.89
18/12/14,2061.23
19/12/14,2070.65
22/12/14,2078.54
23/12/14,2082.17
24/12/14,2081.88
26/12/14,2088.77
29/12/14,2090.57
30/12/14,2080.35
31/12/14,2058.9
02/01/15,2058.2
05/01/15,2020.58
06/01/15,2002.61
07/01/15,2025.9
08/01/15,2062.14
09/01/15,2044.81
12/01/15,2028.26
13/01/15,2023.03
14/01/15,2011.27
15/01/15,1992.67
16/01/15,2019.42
20/01/15,2022.55
21/01/15,2032.12
22/01/15,2063.15
23/01/15,2051.82
26/01/15,2057.09
27/01/15,2029.55
28/01/15,2002.16
29/01/15,2021.25
30/01/15,1994.99
02/02/15,2020.85
03/02/15,2050.03
04/02/15,2041.51
05/02/15,2062.52
06/02/15,2055.47
09/02/15,2046.74
10/02/15,2068.59
11/02/15,2068.53
12/02/15,2088.48
13/02/15,2096.99
17/02/15,2100.34
18/02/15,2099.68
19/02/15,2097.45
20/02/15,2110.3
23/02/15,2109.66
24/02/15,2115.48
25/02/15,2113.86
26/02/15,2110.74
27/02/15,2104.5
02/03/15,2117.39
03/03/15,2107.78
04/03/15,2098.53
05/03/15,2101.04
06/03/15,2071.26
09/03/15,2079.43
10/03/15,2044.16
11/03/15,2040.24
12/03/15,2065.95
13/03/15,2053.4
16/03/15,2081.19
17/03/15,2074.28
18/03/15,2099.5
19/03/15,2089.27
20/03/15,2108.1
23/03/15,2104.42
24/03/15,2091.5
25/03/15,2061.05
26/03/15,2056.15
27/03/15,2061.02
30/03/15,2086.24
31/03/15,2067.89
01/04/15,2059.69
02/04/15,2066.96
06/04/15,2080.62
07/04/15,2076.33
08/04/15,2081.9
09/04/15,2091.18
10/04/15,2102.06
13/04/15,2092.43
14/04/15,2095.84
15/04/15,2106.63
16/04/15,2104.99
17/04/15,2081.18
20/04/15,2100.4
21/04/15,2097.29
22/04/15,2107.96
23/04/15,2112.93
24/04/15,2117.69
27/04/15,2108.92
28/04/15,2114.76
29/04/15,2106.85
30/04/15,2085.51
01/05/15,2108.29
04/05/15,2114.49
05/05/15,2089.46
06/05/15,2080.15
07/05/15,2088
08/05/15,2116.1
11/05/15,2105.33
12/05/15,2099.12
13/05/15,2098.48
14/05/15,2121.1
15/05/15,2122.73
18/05/15,2129.2
19/05/15,2127.83
20/05/15,2125.85
21/05/15,2130.82
22/05/15,2126.06
26/05/15,2104.2
27/05/15,2123.48
28/05/15,2120.79
29/05/15,2107.39
01/06/15,2111.73
02/06/15,2109.6
03/06/15,2114.07
04/06/15,2095.84
05/06/15,2092.83
08/06/15,2079.28
09/06/15,2080.15
