Date,Open,High,Low,Close
10/27/2023,"7,354.57","7,380.33","7,279.86","7,291.28"
10/26/2023,"7,414.34","7,414.34","7,342.48","7,354.57"
10/25/2023,"7,389.70","7,428.11","7,368.38","7,414.34"
10/24/2023,"7,374.83","7,405.26","7,324.99","7,389.70"
10/23/2023,"7,402.14","7,402.20","7,338.59","7,374.83"
10/20/2023,"7,499.53","7,499.62","7,395.57","7,402.14"
10/19/2023,"7,588.00","7,588.00","7,490.46","7,499.53"
10/18/2023,"7,675.21","7,681.50","7,579.26","7,588.00"
10/17/2023,"7,630.63","7,682.63","7,616.77","7,675.21"
10/16/2023,"7,599.60","7,651.27","7,584.64","7,630.63"
10/13/2023,"7,644.78","7,660.05","7,590.72","7,599.60"
10/12/2023,"7,620.03","7,687.91","7,620.03","7,644.78"
10/11/2023,"7,628.21","7,651.98","7,608.67","7,620.03"
10/10/2023,"7,492.21","7,637.41","7,492.21","7,628.21"
10/09/2023,"7,494.58","7,540.57","7,473.19","7,492.21"
10/06/2023,"7,451.54","7,496.42","7,423.36","7,494.58"
10/05/2023,"7,412.45","7,488.60","7,409.74","7,451.54"
10/04/2023,"7,470.16","7,490.18","7,384.20","7,412.45"
10/03/2023,"7,510.72","7,545.67","7,466.62","7,470.16"
10/02/2023,"7,608.08","7,630.41","7,491.30","7,510.72"
09/29/2023,"7,601.85","7,674.19","7,601.85","7,608.08"
09/28/2023,"7,593.22","7,605.55","7,524.11","7,601.85"
09/27/2023,"7,625.72","7,645.55","7,577.23","7,593.22"
09/26/2023,"7,623.99","7,656.94","7,593.54","7,625.72"
09/25/2023,"7,683.91","7,684.82","7,580.81","7,623.99"
09/22/2023,"7,678.62","7,735.16","7,640.80","7,683.91"
09/21/2023,"7,731.65","7,746.53","7,674.70","7,678.62"
09/20/2023,"7,660.20","7,741.90","7,659.61","7,731.65"
09/19/2023,"7,652.94","7,682.38","7,642.36","7,660.20"
09/18/2023,"7,711.38","7,720.14","7,641.76","7,652.94"
09/15/2023,"7,673.08","7,745.82","7,673.08","7,711.38"
09/14/2023,"7,525.99","7,686.96","7,525.99","7,673.08"
09/13/2023,"7,527.53","7,545.16","7,490.37","7,525.99"
09/12/2023,"7,496.87","7,550.24","7,496.34","7,527.53"
09/11/2023,"7,478.19","7,549.34","7,467.35","7,496.87"
09/08/2023,"7,441.72","7,480.64","7,402.10","7,478.19"
09/07/2023,"7,426.14","7,462.18","7,385.92","7,441.72"
09/06/2023,"7,437.93","7,447.94","7,369.64","7,426.14"
09/05/2023,"7,452.76","7,481.35","7,389.80","7,437.93"
09/04/2023,"7,464.54","7,523.40","7,448.31","7,452.76"
09/01/2023,"7,439.13","7,492.63","7,439.13","7,464.54"
08/31/2023,"7,473.67","7,500.44","7,439.13","7,439.13"
08/30/2023,"7,464.99","7,509.36","7,464.73","7,473.67"
08/29/2023,"7,338.58","7,471.14","7,338.58","7,464.99"
08/25/2023,"7,333.63","7,389.40","7,326.97","7,338.58"
08/24/2023,"7,320.53","7,386.08","7,320.53","7,333.63"
08/23/2023,"7,270.76","7,348.84","7,270.76","7,320.53"
08/22/2023,"7,257.82","7,310.52","7,257.58","7,270.76"
08/21/2023,"7,262.43","7,315.97","7,250.88","7,257.82"
08/18/2023,"7,310.21","7,310.21","7,215.76","7,262.43"
08/17/2023,"7,356.88","7,356.96","7,305.00","7,310.21"
08/16/2023,"7,389.64","7,398.20","7,338.53","7,356.88"
08/15/2023,"7,507.15","7,508.58","7,369.69","7,389.64"
08/14/2023,"7,524.16","7,530.25","7,476.45","7,507.15"
08/11/2023,"7,618.60","7,618.60","7,507.84","7,524.16"
08/10/2023,"7,587.30","7,622.92","7,572.61","7,618.60"
08/09/2023,"7,527.42","7,600.79","7,527.42","7,587.30"
08/08/2023,"7,554.49","7,554.49","7,487.47","7,527.42"
08/07/2023,"7,564.37","7,564.95","7,505.15","7,554.49"
08/04/2023,"7,529.16","7,569.55","7,487.36","7,564.37"
08/03/2023,"7,561.63","7,562.13","7,437.88","7,529.16"
